,Name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
0,0,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
1,1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
2,2,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
3,3,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
4,4,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
5,5,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
6,6,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
7,7,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
8,8,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
9,9,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
10,10,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
11,11,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
12,12,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
13,13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
14,14,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
15,15,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
16,16,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
17,17,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
18,18,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
19,19,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
20,20,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
21,21,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
22,22,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
23,23,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
24,24,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
25,25,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
26,25,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
27,26,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
28,27,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
29,28,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
30,29,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
31,30,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
32,31,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
33,32,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
34,33,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
35,34,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
36,35,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
37,36,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
38,37,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
39,38,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6
40,39,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
41,40,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2
42,41,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6
43,42,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
44,43,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
45,44,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
46,45,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
47,46,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
48,47,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1
49,48,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
50,49,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
51,50,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
52,51,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
53,52,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7
54,53,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
55,54,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
56,55,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
57,56,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
58,57,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
59,58,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
60,59,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
61,60,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
62,61,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
63,62,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
64,63,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
65,64,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
66,65,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
67,66,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
68,67,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
69,68,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
70,69,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
71,70,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2
72,71,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7
73,72,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
74,73,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
75,74,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
76,75,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3
77,76,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7
78,77,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
79,78,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
80,79,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
81,80,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
82,81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
83,82,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
84,83,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
85,84,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
86,85,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
87,86,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
88,87,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
89,88,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
90,89,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
91,90,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
92,91,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
93,92,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
94,93,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
95,94,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
96,95,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
97,96,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
98,97,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
99,98,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
100,99,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
